t;x;x_d;x_dd;x_ddd;x_dddd;F
2.190000;2.104440;2.802749;2.323425;0.673918;-0.322304;5.184042
2.200000;2.132584;2.826017;2.330148;0.670701;-0.321233;5.168513
2.210000;2.160961;2.849352;2.336839;0.667494;-0.320166;5.153031
2.220000;2.189571;2.872754;2.343498;0.664297;-0.319102;5.137595
2.230000;2.218416;2.896222;2.350125;0.661112;-0.318041;5.122205
2.240000;2.247496;2.919756;2.356720;0.657937;-0.316984;5.106862
2.250000;2.276811;2.943356;2.363284;0.654772;-0.315930;5.091564
2.260000;2.306363;2.967022;2.369816;0.651618;-0.314879;5.076312
2.270000;2.336152;2.990752;2.376316;0.648474;-0.313831;5.061106
2.280000;2.366178;3.014548;2.382785;0.645341;-0.312787;5.045946
2.290000;2.396443;3.038408;2.389223;0.642219;-0.311746;5.030831
2.300000;2.426947;3.062332;2.395630;0.639106;-0.310708;5.015761
2.310000;2.457690;3.086321;2.402005;0.636005;-0.309673;5.000736
2.320000;2.488673;3.110372;2.408350;0.632913;-0.308641;4.985756
2.330000;2.519897;3.134487;2.414664;0.629832;-0.307613;4.970821
2.340000;2.551363;3.158666;2.420947;0.626761;-0.306588;4.955931
2.350000;2.583071;3.182906;2.427199;0.623700;-0.305566;4.941086
2.360000;2.615022;3.207209;2.433421;0.620649;-0.304547;4.926285
2.370000;2.647215;3.231575;2.439612;0.617609;-0.303531;4.911528
2.380000;2.679653;3.256002;2.445773;0.614579;-0.302518;4.896815
2.390000;2.712336;3.280490;2.451903;0.611559;-0.301509;4.882147
2.400000;2.745263;3.305040;2.458004;0.608549;-0.300502;4.867523
2.410000;2.778437;3.329650;2.464074;0.605549;-0.299499;4.852942
2.420000;2.811856;3.354321;2.470115;0.602559;-0.298499;4.838405
2.430000;2.845523;3.379052;2.476126;0.599579;-0.297502;4.823911
2.440000;2.879438;3.403843;2.482107;0.596609;-0.296508;4.809461
2.450000;2.913600;3.428694;2.488058;0.593648;-0.295517;4.795055
2.460000;2.948012;3.453604;2.493980;0.590698;-0.294529;4.780691
2.470000;2.982673;3.478574;2.499872;0.587758;-0.293544;4.766370
2.480000;3.017583;3.503602;2.505735;0.584827;-0.292562;4.752093
2.490000;3.052745;3.528688;2.511568;0.581907;-0.291583;4.737858
2.500000;3.088157;3.553833;2.517373;0.578996;-0.290608;4.723666
2.510000;3.123822;3.579036;2.523148;0.576094;-0.289635;4.709516
2.520000;3.159738;3.604296;2.528895;0.573203;-0.288665;4.695408
2.530000;3.195908;3.629613;2.534612;0.570321;-0.287698;4.681343
2.540000;3.232331;3.654988;2.540301;0.567449;-0.286734;4.667320
2.550000;3.269008;3.680419;2.545961;0.564586;-0.285774;4.653339
2.560000;3.305939;3.705907;2.551593;0.561733;-0.284816;4.639400
2.570000;3.343126;3.731451;2.557196;0.558890;-0.283861;4.625503
2.580000;3.380569;3.757051;2.562771;0.556056;-0.282909;4.611647
2.590000;3.418267;3.782706;2.568317;0.553232;-0.281960;4.597833
2.600000;3.456223;3.808417;2.573836;0.550417;-0.281014;4.584060
2.610000;3.494436;3.834183;2.579326;0.547612;-0.280071;4.570329
2.620000;3.532907;3.860004;2.584788;0.544816;-0.279131;4.556638
2.630000;3.571636;3.885879;2.590222;0.542029;-0.278193;4.542989
2.640000;3.610624;3.911808;2.595628;0.539252;-0.277259;4.529380
2.650000;3.649872;3.937791;2.601007;0.536484;-0.276327;4.515812
2.660000;3.689380;3.963828;2.606358;0.533725;-0.275399;4.502285
2.670000;3.729149;3.989918;2.611682;0.530976;-0.274473;4.488799
2.680000;3.769179;4.016062;2.616978;0.528236;-0.273550;4.475352
2.690000;3.809471;4.042258;2.622246;0.525505;-0.272630;4.461946
2.700000;3.850024;4.068506;2.627488;0.522783;-0.271713;4.448581
2.710000;3.890841;4.094807;2.632702;0.520071;-0.270798;4.435255
2.720000;3.931921;4.121160;2.637889;0.517367;-0.269887;4.421969
2.730000;3.973264;4.147565;2.643049;0.514673;-0.268978;4.408723
2.740000;4.014872;4.174021;2.648183;0.511988;-0.268072;4.395517
2.750000;4.056745;4.200529;2.653289;0.509311;-0.267169;4.382350
2.760000;4.098883;4.227087;2.658369;0.506644;-0.266269;4.369223
2.770000;4.141287;4.253696;2.663422;0.503986;-0.265371;4.356135
2.780000;4.183957;4.280355;2.668449;0.501337;-0.264476;4.343086
2.790000;4.226894;4.307065;2.673449;0.498696;-0.263584;4.330076
2.800000;4.270098;4.333824;2.678423;0.496065;-0.262695;4.317105
2.810000;4.313571;4.360633;2.683370;0.493442;-0.261809;4.304173
2.820000;4.357311;4.387492;2.688292;0.490829;-0.260925;4.291280
2.830000;4.401321;4.414399;2.693187;0.488224;-0.260044;4.278426
2.840000;4.445599;4.441355;2.698056;0.485628;-0.259166;4.265610
2.850000;4.490148;4.468360;2.702899;0.483041;-0.258290;4.252832
2.860000;4.534967;4.495413;2.707717;0.480462;-0.257417;4.240093
2.870000;4.580056;4.522514;2.712509;0.477892;-0.256547;4.227391
2.880000;4.625417;4.549663;2.717275;0.475331;-0.255680;4.214728
